OBJECTID,DATA_DATE,ROUTE_COMMON_NAME,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,AAWDT,AAWDT_QUALITY_CODE,FROM_JURISDICTION,TO_JURISDICTION,ROUTE_NAME,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,LINK_ID,Shape__Length
24108,2019/01/01 00:00:00+00,UR-6627N (City of Fairfax),SCL Fairfax,Armstrong St,10000,G,96.39172,2.03892,1.38091,0.1174,0.07415,0.00309,C,11000,G,City of Fairfax,City of Fairfax,R-VA151UR06627NB,Northern Virginia,Northern Virginia,UR,627042,785.4568214
24464,2019/01/01 00:00:00+00,UR-6628N (City of Fairfax),SR 236 Main St,Layton Hall Rd,17000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,18000,G,City of Fairfax,City of Fairfax,R-VA151UR06628NB,Northern Virginia,Northern Virginia,UR,627032,846.4967093
24466,2019/01/01 00:00:00+00,UR-6628N (City of Fairfax),Layton Hall Dr,Heritage Lane,17000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,18000,G,City of Fairfax,City of Fairfax,R-VA151UR06628NB,Northern Virginia,Northern Virginia,UR,627033,1010.708639
24467,2019/01/01 00:00:00+00,UR-6628N (City of Fairfax),Heritage Lane,Brookwood Rd,15000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,16000,G,City of Fairfax,City of Fairfax,R-VA151UR06628NB,Northern Virginia,Northern Virginia,UR,627034,383.8707961
24514,2019/01/01 00:00:00+00,UR-6628N (City of Fairfax),Brookwood Rd,Cornell Rd,15000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,C,16000,G,City of Fairfax,City of Fairfax,R-VA151UR06628NB,Northern Virginia,Northern Virginia,UR,627035,504.8686563
24516,2019/01/01 00:00:00+00,UR-6628N (City of Fairfax),Cornell Rd,Rebel Run,16000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,17000,G,City of Fairfax,City of Fairfax,R-VA151UR06628NB,Northern Virginia,Northern Virginia,UR,627036,308.3898192
24519,2019/01/01 00:00:00+00,UR-6628N (City of Fairfax),Rebel Run,US 50 Lee Hwy,15000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,16000,G,City of Fairfax,City of Fairfax,R-VA151UR06628NB,Northern Virginia,Northern Virginia,UR,627037,1221.804464
24521,2019/01/01 00:00:00+00,UR-6628N (City of Fairfax),"SR 236 W, Main St","SR 236 E, Main St",20000,G,98.46728,0.54946,0.37942,0.26606,0.33662,0.0081,C,21000,G,City of Fairfax,City of Fairfax,R-VA151UR06628NB,Northern Virginia,Northern Virginia,UR,190159,41.73153841
24626,2019/01/01 00:00:00+00,UR-6628S (City of Fairfax),Cornell Rd,Rebel Run,16000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,17000,G,City of Fairfax,City of Fairfax,R-VA151UR06628SB,Northern Virginia,Northern Virginia,UR,627036,309.6930755
24634,2019/01/01 00:00:00+00,UR-6628S (City of Fairfax),Rebel Run,US 50 Lee Hwy,15000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,16000,G,City of Fairfax,City of Fairfax,R-VA151UR06628SB,Northern Virginia,Northern Virginia,UR,627037,1201.176722
24753,2019/01/01 00:00:00+00,UR-2E (City of Fairfax),SR 123 Chain Bridge Rd,University Dr,2200,G,97.99887,0.9301,0.60598,0.29594,0.15501,0.01409,C,2300,G,City of Fairfax,City of Fairfax,R-VA151UR00002EB,Northern Virginia,Northern Virginia,UR,627018,388.0422212
24773,2019/01/01 00:00:00+00,UR-6634S (City of Fairfax),US 50 Lee Jackson Hwy,Gainsborough Ct,16000,G,97.3871,1.04918,1.04918,0.28169,0.22421,0.00862,C,17000,G,City of Fairfax,City of Fairfax,R-VA151UR06634SB,Northern Virginia,Northern Virginia,UR,627013,476.4180411
24774,2019/01/01 00:00:00+00,UR-6634N (City of Fairfax),US 29 Lee Highway,US 50 Lee Jackson Hwy,14000,G,97.65102,0.89624,0.84447,0.22648,0.37533,0.00647,C,15000,G,City of Fairfax,City of Fairfax,R-VA151UR06634NB,Northern Virginia,Northern Virginia,UR,627011,623.0896796
24824,2019/01/01 00:00:00+00,UR-6634N (City of Fairfax),US 50 Lee Jackson Hwy,Gainsborough Ct,16000,G,97.3871,1.04918,1.04918,0.28169,0.22421,0.00862,C,17000,G,City of Fairfax,City of Fairfax,R-VA151UR06634NB,Northern Virginia,Northern Virginia,UR,627013,566.6327196
24832,2019/01/01 00:00:00+00,UR-6634S (City of Fairfax),US 29 Lee Highway,US 50 Lee Jackson Hwy,14000,G,97.65102,0.89624,0.84447,0.22648,0.37533,0.00647,C,15000,G,City of Fairfax,City of Fairfax,R-VA151UR06634SB,Northern Virginia,Northern Virginia,UR,627011,632.5076746
24848,2019/01/01 00:00:00+00,UR-6628S (City of Fairfax),SR 236 Main St,Layton Hall Rd,17000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,18000,G,City of Fairfax,City of Fairfax,R-VA151UR06628SB,Northern Virginia,Northern Virginia,UR,627032,850.4341998
24850,2019/01/01 00:00:00+00,UR-6628S (City of Fairfax),Layton Hall Dr,Heritage Lane,17000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,18000,G,City of Fairfax,City of Fairfax,R-VA151UR06628SB,Northern Virginia,Northern Virginia,UR,627033,1016.771966
24851,2019/01/01 00:00:00+00,UR-6628S (City of Fairfax),Heritage Lane,Brookwood Rd,15000,G,97.34541,1.01023,1.31855,0.164,0.16181,0.00438,F,16000,G,City of Fairfax,City of Fairfax,R-VA151UR06628SB,Northern Virginia,Northern Virginia,UR,627034,382.141504
